"Var1" "Freq"
"1" "0.000114297877644755" 1
"2" "0.000124366253496023" 1
"3" "0.00014488319064868" 1
"4" "0.000160421364647266" 1
"5" "0.000244357044751103" 1
"6" "0.000244742270365966" 1
"7" "0.000459971515746121" 1
"8" "0.000684011833049761" 1
"9" "0.000804627920293365" 1
"10" "0.000872074209613367" 1
"11" "0.000877547273013544" 1
"12" "0.00089900523007789" 1
"13" "0.000991452281264021" 1
"14" "0.00099521215817452" 1
"15" "0.00113506463611512" 1
"16" "0.00116797464732679" 1
"17" "0.00145913818161984" 1
"18" "0.00155020719642496" 1
"19" "0.00158416482547455" 1
"20" "0.00237001998262224" 1
"21" "0.00332888983947462" 1
"22" "0.00353156460827956" 1
"23" "0.00372689965673728" 1
"24" "0.00380907778464363" 1
"25" "0.00404208262517124" 1
"26" "0.00404959790361009" 1
"27" "0.00444817599934827" 1
"28" "0.00450936821022105" 1
"29" "0.0045759206520025" 1
"30" "0.0045814519408066" 1
"31" "0.00527369942078248" 1
"32" "0.0053082229220293" 1
"33" "0.00536856531983396" 1
"34" "0.00557728747080475" 1
"35" "0.00621828203547573" 1
"36" "0.0064517294919579" 1
"37" "0.00716007861705553" 1
"38" "0.00817336446281744" 1
"39" "0.00853872992335601" 1
"40" "0.00911773189625877" 1
"41" "1.13107288704194e-10" 1
"42" "1.1675768767019e-05" 1
"43" "1.23082856178964e-22" 1
"44" "1.37527644748894e-07" 1
"45" "1.37632086466963e-05" 1
"46" "1.43855541284648e-06" 1
"47" "1.67825203730534e-05" 1
"48" "1.68410777767905e-13" 1
"49" "1.88914861881439e-05" 1
"50" "1.92287276424457e-09" 1
"51" "1.94327819142908e-06" 1
"52" "1.96247419661832e-10" 1
"53" "2.21956486883752e-05" 1
"54" "2.27944845232562e-06" 1
"55" "2.64325800295161e-21" 1
"56" "3.46036409704188e-05" 1
"57" "4.59660996482459e-05" 1
"58" "4.67783014697115e-13" 1
"59" "4.76597915447946e-20" 1
"60" "4.96835755210512e-06" 1
"61" "5.2588024876324e-09" 1
"62" "5.39146339743972e-08" 1
"63" "5.50245672354565e-05" 1
"64" "5.72646627816331e-10" 1
"65" "5.97689953357928e-05" 1
"66" "6.03999287671617e-11" 1
"67" "6.07761300928977e-05" 1
"68" "7.42570464383614e-06" 1
"69" "9.00363516340269e-09" 1
"70" "9.17336122509405e-05" 1
"71" "9.24275975791291e-05" 1
"72" "9.62871036912535e-05" 1
"73" "9.84841939297899e-08" 1
"74" "9.93268704799488e-10" 1
"75" "BroadPeak" 100
"76" "SharpPeak" 230
"77" "Singleton" 22
